               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.0405,            0.025421,           0.0064763,             0.70301,             0.69945,             0.74985,             0.34539,            0.042006,            0.018756,           0.0064084,             0.00838,             0.00838,             0.00838
                  38,            0.042033,             0.02358,           0.0063912,             0.74212,             0.65976,             0.73289,             0.31406,            0.044886,            0.019054,           0.0059204,            0.008335,            0.008335,            0.008335
                  39,            0.040367,            0.023434,           0.0059819,             0.73308,             0.60683,             0.68835,              0.3024,            0.045477,            0.021731,           0.0071368,             0.00829,             0.00829,             0.00829
                  40,            0.041734,            0.024451,           0.0059363,             0.80081,             0.66074,             0.71985,             0.33408,            0.041768,            0.020573,           0.0070416,            0.008245,            0.008245,            0.008245
                  41,            0.042067,            0.027303,           0.0064195,             0.75093,             0.67938,             0.72824,             0.34102,            0.042712,            0.018584,           0.0068964,              0.0082,              0.0082,              0.0082
                  42,            0.042091,             0.02553,           0.0058379,             0.78022,             0.65098,             0.72797,             0.33691,              0.0417,            0.019407,           0.0079211,            0.008155,            0.008155,            0.008155
                  43,            0.040761,            0.022114,           0.0056322,             0.70065,              0.6699,              0.7138,             0.33409,            0.041952,             0.01881,            0.007197,             0.00811,             0.00811,             0.00811
                  44,            0.040791,            0.024649,            0.005296,             0.61021,             0.66188,             0.64112,              0.2879,            0.043991,            0.018735,           0.0074127,            0.008065,            0.008065,            0.008065
                  45,            0.040454,             0.02293,           0.0053287,             0.63788,             0.67728,             0.65591,             0.30993,            0.040901,            0.019029,           0.0070721,             0.00802,             0.00802,             0.00802
                  46,            0.040293,             0.02443,           0.0052505,             0.67465,             0.64586,             0.67267,              0.3104,            0.042994,             0.01954,           0.0066705,            0.007975,            0.007975,            0.007975
                  47,            0.037829,            0.024938,           0.0053345,             0.75242,             0.68576,             0.70636,             0.34389,            0.041073,            0.019784,           0.0060669,             0.00793,             0.00793,             0.00793
                  48,            0.040384,            0.025737,           0.0052149,             0.68211,             0.68646,             0.69992,             0.34642,            0.039409,            0.019198,           0.0064227,            0.007885,            0.007885,            0.007885
                  49,            0.037598,            0.024818,           0.0050521,             0.79247,             0.60472,             0.71158,             0.32742,            0.041229,            0.019198,           0.0068076,             0.00784,             0.00784,             0.00784
                  50,            0.038974,            0.022974,           0.0042207,             0.72387,             0.62614,             0.69762,              0.3007,            0.045617,            0.019702,           0.0060257,            0.007795,            0.007795,            0.007795
                  51,            0.038418,             0.02469,           0.0048147,             0.80475,             0.63355,             0.74265,             0.34371,             0.04182,            0.019482,           0.0055008,             0.00775,             0.00775,             0.00775
                  52,            0.038275,            0.023834,           0.0053818,             0.69964,             0.67288,             0.72967,             0.34196,            0.041599,            0.019835,           0.0056024,            0.007705,            0.007705,            0.007705
                  53,            0.037921,            0.025609,           0.0044606,              0.7398,             0.63826,              0.7362,             0.35175,            0.041942,              0.0194,            0.006272,             0.00766,             0.00766,             0.00766
                  54,            0.040438,            0.023955,           0.0052326,             0.77183,             0.63028,             0.72962,             0.34945,            0.042908,             0.01978,           0.0065186,            0.007615,            0.007615,            0.007615
                  55,            0.038912,            0.025586,           0.0046491,             0.73735,             0.70883,             0.75041,             0.35087,              0.0417,             0.01995,           0.0061871,             0.00757,             0.00757,             0.00757
                  56,            0.039292,             0.02293,           0.0046707,             0.70976,              0.6697,             0.71049,             0.35423,            0.042699,            0.020069,           0.0061426,            0.007525,            0.007525,            0.007525
                  57,            0.038083,            0.024643,           0.0047465,             0.76215,             0.58801,             0.66262,             0.29458,            0.044929,            0.021324,           0.0056299,             0.00748,             0.00748,             0.00748
                  58,            0.036515,            0.021447,           0.0045561,             0.71854,             0.68916,              0.7122,             0.33923,            0.043048,             0.02136,           0.0061002,            0.007435,            0.007435,            0.007435
                  59,            0.037431,            0.022227,           0.0051665,             0.66611,             0.74008,             0.73499,             0.36483,            0.044737,             0.02047,           0.0065945,             0.00739,             0.00739,             0.00739
                  60,            0.037484,            0.021947,           0.0042112,             0.76611,             0.65421,             0.70907,             0.32912,             0.04607,            0.021307,           0.0064801,            0.007345,            0.007345,            0.007345
